thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.999991;0.989857;0.895610;0.805705;0.642665;0.274006;0.130536;0.055970;0.019561;0.010225;
0.999819;0.970838;0.857225;0.777776;0.603509;0.229444;0.082856;0.018219;0.003409;0.003190;
0.998174;0.985526;0.889198;0.802661;0.641276;0.247628;0.103759;0.036858;0.013429;0.005756;
0.999223;0.976740;0.876468;0.790197;0.631903;0.252745;0.112244;0.044280;0.016192;0.005821;
0.999956;0.984614;0.893460;0.810194;0.639170;0.261656;0.117874;0.049511;0.026404;0.020641;
0.977554;0.933783;0.886449;0.802997;0.597396;0.245137;0.111941;0.040175;0.013398;0.005393;
0.999952;0.984894;0.887050;0.799977;0.626502;0.240864;0.097575;0.029875;0.005043;0.003140;
0.999979;0.993278;0.903799;0.826293;0.666472;0.283497;0.131608;0.057354;0.026921;0.012738;
0.999642;0.967913;0.905036;0.833194;0.661414;0.323698;0.174321;0.092288;0.059519;0.042259;
0.999583;0.984389;0.903143;0.820265;0.629689;0.266641;0.105277;0.032922;0.007458;0.003457;
0.999899;0.985256;0.895900;0.814545;0.631750;0.268306;0.118997;0.038237;0.009121;0.004351;
0.997565;0.961514;0.892041;0.801376;0.628122;0.260982;0.122573;0.055766;0.029533;0.016563;
0.999878;0.982573;0.904506;0.808271;0.620866;0.219676;0.087829;0.027010;0.006775;0.004747;
0.993202;0.965257;0.877401;0.819160;0.676766;0.376884;0.222001;0.124231;0.053014;0.022566;
0.989876;0.947939;0.886635;0.831554;0.674167;0.347670;0.177424;0.091757;0.039350;0.013765;
0.998601;0.962219;0.869131;0.788914;0.607924;0.262724;0.093649;0.026782;0.004542;0.003556;
0.994989;0.969395;0.885396;0.800270;0.634478;0.279978;0.133534;0.058032;0.022021;0.012646;
0.999856;0.988393;0.919591;0.828831;0.628387;0.253523;0.103160;0.032449;0.003816;0.003090;
0.996112;0.953560;0.859206;0.789673;0.610908;0.239844;0.098336;0.031890;0.009442;0.003525;
0.999184;0.972585;0.875507;0.788102;0.626512;0.256630;0.109570;0.032906;0.004650;0.003128;
0.999845;0.974860;0.868130;0.790112;0.611531;0.230138;0.085814;0.022467;0.004826;0.003163;
